Pickup Branch,Post code,Post office name,Commune EN,Commune Khmer,Phone,Phone Number,Main Branch Phone,Branch Code,Branch EN,Branch Khmer,Category,Post office level,Type,Status,Latitude,Longitude,Search Text
BANA001,BANA001,Chamnaom,Chamnaom,Chamnaom,0716111197,0716111197,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.437565,102.934632,BANA001 | Chamnaom | Chamnaom | 0716111197 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA002,BANA002,Paoy Paet,Paoy Paet,Paoy Paet,068664966,068664966,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.682498,102.564968,BANA002 | Paoy Paet | Paoy Paet | 068664966 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA003,BANA003,Preah Punlea,Preah Punlea,Preah Punlea,0884844416,0884844416,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.59106,102.973797,BANA003 | Preah Punlea | Preah Punlea | 0884844416 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA004,BANA004,Phsar Kandal,Phsar Kandal,Phsar Kandal,0882344488,0882344488,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.646559,102.590885,BANA004 | Phsar Kandal | Phsar Kandal | 0882344488 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA005,BANA005,Ou Ruessei,Ou Ruessei,Ou Ruessei,0977842760,0977842760,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.69538,102.651888,BANA005 | Ou Ruessei | Ou Ruessei | 0977842760 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA006,BANA006,Roluos,Roluos,Roluos,067253334,067253334,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.80385,102.96445,BANA006 | Roluos | Roluos | 067253334 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA007,BANA007,Phnum Touch,Phnum Touch,Phnum Touch,0973991168,0973991168,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.410764,103.017448,BANA007 | Phnum Touch | Phnum Touch | 0973991168 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA008,BANA008,Paoy Char,Paoy Char,Paoy Char,0889574697,0889574697,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.774137,103.313281,BANA008 | Paoy Char | Paoy Char | 0889574697 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA009,BANA009,Chub Vari,Chub Vari,Chub Vari,0717333545,0717333545,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.623668,103.182027,BANA009 | Chub Vari | Chub Vari | 0717333545 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA010,BANA010,Banteay Chhmar,Banteay Chhmar,Banteay Chhmar,0976111877,0976111877,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,12.252597,105.977067,BANA010 | Banteay Chhmar | Banteay Chhmar | 0976111877 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
BANA011,BANA011,Kampong Svay,Kampong Svay,Kampong Svay,066824778,066824778,0316000285,BANP001,Banteay Meanchey,Banteay Meanchey,Agent,Agent,Authorized Dealer/ Authorized Agent,In effect,13.600802,102.967587,BANA011 | Kampong Svay | Kampong Svay | 066824778 | BANP001 | Banteay Meanchey | Banteay Meanchey | Agent
